iter	MultiClass
0	1.026020403
1	0.9759721722
2	0.9331107248
3	0.894123641
4	0.8632403763
5	0.8323695374
6	0.8078892216
7	0.7867350918
8	0.7674112641
9	0.7494416121
10	0.7338522327
11	0.7208652196
12	0.7100528375
13	0.6982800048
14	0.6886929124
15	0.6792844231
16	0.6725951757
17	0.6665499264
18	0.6600906837
19	0.6540723679
20	0.6490670717
21	0.6439333183
22	0.6381166385
23	0.6335251293
24	0.6276072264
25	0.6246559617
26	0.6201865115
27	0.6156106627
28	0.6122438676
29	0.6095100203
30	0.6067586586
31	0.6045624158
32	0.6019413797
33	0.5982398864
34	0.5950598484
35	0.5914255869
36	0.58951311
37	0.5868899851
38	0.5836098144
39	0.5814851611
40	0.5803367822
41	0.5769997339
42	0.575149573
43	0.5737322892
44	0.571281802
45	0.5703075561
46	0.568631328
47	0.5670010961
48	0.5657136255
49	0.56396136
50	0.5625081237
51	0.5616739038
52	0.5605881667
53	0.5594288661
54	0.5585371498
55	0.5579225368
56	0.5575705828
57	0.5561948887
58	0.5548745374
59	0.553997129
60	0.5516787619
61	0.5505831306
62	0.5491943318
63	0.5475781631
64	0.54715061
65	0.5455726109
66	0.5447615013
67	0.5438507775
68	0.5436595401
69	0.5428033974
70	0.5423586849
71	0.5414098394
72	0.5403804782
73	0.5402375739
74	0.5389145741
75	0.5385324126
76	0.5380229675
77	0.5375071301
78	0.5368660271
79	0.5365109123
80	0.5361712351
81	0.5350662614
82	0.5346257281
83	0.5342918729
84	0.5333135222
85	0.5328929134
86	0.5316700958
87	0.530357653
88	0.5300834885
89	0.5294711899
90	0.5290151788
91	0.5282667418
92	0.5276763066
93	0.5270288955
94	0.5252050449
95	0.5245411575
96	0.5238897096
97	0.522974179
98	0.5225589373
99	0.5217812631
100	0.5209662981
101	0.5200249836
102	0.5189069332
103	0.5176575111
104	0.51617833
105	0.5152288563
106	0.5148161812
107	0.5140814052
108	0.5131425554
109	0.511927803
110	0.5109346797
111	0.5101430203
112	0.5091628906
113	0.5085710154
114	0.5079599251
115	0.5071755459
116	0.5062775284
117	0.5051741516
118	0.5043751862
119	0.5037281399
120	0.5029484351
121	0.5022101778
122	0.5007592981
123	0.4999306136
124	0.4987109078
125	0.4981672922
126	0.4979596469
127	0.4975011475
128	0.4966193697
129	0.4959085522
130	0.4955984561
131	0.4949250803
132	0.4942575327
133	0.4930839056
134	0.4926341695
135	0.4922612058
136	0.491541794
137	0.4909859753
138	0.4903899872
139	0.4895137349
140	0.4887577919
141	0.4884075602
142	0.4879353753
143	0.4876195936
144	0.4869193175
145	0.4861845412
146	0.4857556066
147	0.4853886316
148	0.4850579544
149	0.4847151338
150	0.484190743
151	0.4836528247
152	0.482794462
153	0.4823737991
154	0.4817121093
155	0.4814620911
156	0.4808420524
157	0.4804761302
158	0.4802102098
159	0.4798132118
160	0.4793684633
161	0.4790155176
162	0.4784889112
163	0.478096919
164	0.4772792962
165	0.4771119648
166	0.47659325
167	0.4761266179
168	0.4757974152
169	0.4751634705
170	0.4748217482
171	0.4742386132
172	0.4739853702
173	0.4735230977
174	0.4731487257
175	0.4727671627
176	0.4725784283
177	0.4721870062
178	0.4718159455
179	0.4714366092
180	0.4709881759
181	0.4705806581
182	0.4700048571
183	0.4695769482
184	0.4694874657
185	0.4687620637
186	0.4683088399
187	0.4681018213
188	0.467582829
189	0.467219557
190	0.4671032535
191	0.466900401
192	0.4664876883
193	0.4655148938
194	0.4648533857
195	0.4646693141
196	0.4642768486
197	0.4640340389
198	0.4632683288
199	0.4628937015
200	0.4625778732
201	0.4619712592
202	0.4613544682
203	0.4612470899
204	0.4609774657
205	0.4606725053
206	0.4606032721
207	0.460251337
208	0.4600102784
209	0.45988878
210	0.459713513
211	0.4589635006
212	0.4585044266
213	0.4580159902
214	0.4577614406
215	0.4574949933
216	0.4569586357
217	0.4564775614
218	0.4560966982
219	0.4559021717
220	0.4556051836
221	0.4554415163
222	0.4550524701
223	0.4549641284
224	0.4548657439
225	0.4545642657
226	0.4542631283
227	0.4541858895
228	0.4538723582
229	0.4535529315
230	0.4532676642
231	0.4531563785
232	0.4529806357
233	0.4528526234
234	0.4527759282
235	0.4524478504
236	0.4523464815
237	0.4522310961
238	0.4521526714
239	0.4520212823
240	0.4518583881
241	0.4516458734
242	0.4514485187
243	0.4512745753
244	0.4512238252
245	0.4510788797
246	0.450711722
247	0.4503924547
248	0.4501933976
249	0.44991777
250	0.4497333217
251	0.4495593759
252	0.4494248595
253	0.4493839956
254	0.4490119803
255	0.4487363099
256	0.4485883764
257	0.4483726664
258	0.4478918756
259	0.447834349
260	0.4475752336
261	0.4474760203
262	0.4470779319
263	0.4470323732
264	0.4468643512
265	0.4466520651
266	0.4465540529
267	0.4459862276
268	0.4458800443
269	0.4456183928
270	0.4455577299
271	0.4454480774
272	0.4451850229
273	0.4450222746
274	0.444745447
275	0.4445489707
276	0.4444464087
277	0.4444211001
278	0.4441120489
279	0.4440317888
280	0.4438746751
281	0.4437069887
282	0.443522066
283	0.4432022939
284	0.4430397283
285	0.4428175803
286	0.4426431627
287	0.442608528
288	0.4424036484
289	0.4420358819
290	0.4416830083
291	0.4413813509
292	0.4412299013
293	0.4411727033
294	0.441102776
295	0.4407108931
296	0.4406327115
297	0.4403719587
298	0.4402171037
299	0.4401479523
