iter	Passed	Remaining
0	99	29773
1	135	20186
2	177	17587
3	216	15994
4	251	14839
5	287	14076
6	324	13603
7	364	13311
8	427	13817
9	477	13846
10	526	13832
11	563	13528
12	600	13254
13	643	13149
14	703	13373
15	750	13312
16	800	13326
17	850	13321
18	909	13451
19	944	13220
20	984	13080
21	1020	12901
22	1056	12720
23	1098	12631
24	1137	12508
25	1170	12331
26	1205	12190
27	1243	12075
28	1290	12062
29	1347	12125
30	1384	12009
31	1418	11881
32	1453	11757
33	1487	11637
34	1526	11557
35	1561	11448
36	1595	11341
37	1629	11236
38	1666	11155
39	1706	11092
40	1745	11024
41	1791	11004
42	1828	10929
43	1861	10829
44	1895	10739
45	1912	10562
46	1945	10474
47	1979	10392
48	2015	10325
49	2048	10244
50	2085	10180
51	2119	10106
52	2152	10030
53	2195	10001
54	2239	9973
55	2282	9944
56	2326	9920
57	2368	9883
58	2419	9882
59	2464	9858
60	2515	9857
61	2537	9740
62	2589	9741
63	2641	9741
64	2654	9597
65	2690	9540
66	2732	9502
67	2759	9413
68	2770	9276
69	2810	9235
70	2823	9105
71	2867	9079
72	2911	9054
73	2930	8951
74	2965	8896
75	2977	8776
76	3026	8764
77	3049	8680
78	3082	8624
79	3092	8504
80	3100	8383
81	3132	8327
82	3154	8246
83	3167	8144
84	3199	8093
85	3210	7987
86	3247	7951
87	3289	7923
88	3298	7819
89	3338	7789
90	3354	7703
91	3385	7654
92	3416	7604
93	3459	7582
94	3504	7563
95	3549	7543
96	3598	7531
97	3645	7513
98	3670	7452
99	3713	7426
100	3761	7411
101	3808	7393
102	3863	7390
103	3907	7363
104	3960	7355
105	4008	7336
106	4054	7314
107	4089	7269
108	4123	7225
109	4165	7195
110	4205	7160
111	4251	7137
112	4286	7093
113	4320	7050
114	4358	7012
115	4399	6978
116	4433	6935
117	4465	6887
118	4499	6843
119	4535	6803
120	4567	6757
121	4599	6710
122	4636	6671
123	4669	6628
124	4704	6585
125	4735	6539
126	4766	6493
127	4800	6450
128	4834	6408
129	4871	6370
130	4902	6324
131	4937	6284
132	4981	6254
133	5019	6218
134	5051	6174
135	5084	6131
136	5115	6086
137	5148	6044
138	5180	6000
139	5218	5963
140	5256	5927
141	5292	5889
142	5332	5854
143	5366	5813
144	5412	5785
145	5445	5744
146	5483	5707
147	5515	5664
148	5548	5623
149	5580	5580
150	5615	5541
151	5653	5504
152	5695	5472
153	5730	5432
154	5762	5390
155	5796	5350
156	5831	5311
157	5862	5268
158	5893	5226
159	5928	5187
160	5973	5157
161	6007	5117
162	6052	5086
163	6088	5049
164	6126	5012
165	6167	4978
166	6200	4937
167	6234	4898
168	6269	4859
169	6303	4820
170	6341	4784
171	6378	4746
172	6424	4716
173	6460	4677
174	6497	4640
175	6531	4601
176	6562	4560
177	6599	4522
178	6634	4484
179	6666	4444
180	6698	4404
181	6737	4368
182	6769	4328
183	6806	4291
184	6843	4254
185	6884	4219
186	6916	4179
187	6947	4138
188	6978	4098
189	7012	4059
190	7047	4021
191	7078	3981
192	7111	3942
193	7147	3905
194	7181	3866
195	7215	3828
196	7247	3789
197	7279	3749
198	7315	3712
199	7360	3680
200	7395	3642
201	7430	3605
202	7471	3570
203	7502	3530
204	7532	3490
205	7562	3451
206	7595	3412
207	7627	3373
208	7660	3335
209	7698	3299
210	7755	3271
211	7806	3240
212	7855	3208
213	7900	3175
214	7948	3142
215	8003	3112
216	8049	3078
217	8092	3043
218	8125	3005
219	8168	2970
220	8200	2931
221	8233	2892
222	8268	2855
223	8301	2816
224	8334	2778
225	8371	2741
226	8422	2708
227	8454	2669
228	8488	2631
229	8523	2594
230	8558	2556
231	8591	2518
232	8644	2485
233	8679	2448
234	8723	2413
235	8771	2378
236	8830	2347
237	8868	2310
238	8908	2273
239	8947	2236
240	8987	2200
241	9043	2167
242	9089	2132
243	9148	2099
244	9192	2063
245	9235	2027
246	9280	1991
247	9324	1955
248	9363	1917
249	9407	1881
250	9445	1844
251	9477	1805
252	9511	1766
253	9547	1729
254	9589	1692
255	9620	1653
256	9651	1614
257	9683	1576
258	9723	1539
259	9754	1500
260	9789	1462
261	9821	1424
262	9854	1386
263	9886	1348
264	9923	1310
265	9957	1272
266	9988	1234
267	10033	1198
268	10066	1160
269	10102	1122
270	10134	1084
271	10170	1047
272	10205	1009
273	10248	972
274	10281	934
275	10313	896
276	10343	858
277	10375	821
278	10414	783
279	10445	746
280	10477	708
281	10507	670
282	10540	633
283	10575	595
284	10606	558
285	10636	520
286	10670	483
287	10701	445
288	10757	409
289	10795	372
290	10833	335
291	10869	297
292	10901	260
293	10931	223
294	10965	185
295	11001	148
296	11035	111
297	11069	74
298	11103	37
299	11135	0
